,Country,Center,Type,Region,Lat,Long,Location_des
186,Liberia,Bangorma Community Clinic,Clinic,Grand Cape Mount,7.0818,-11.2109,"Bangorma Community Clinic, Grand Cape Mount"
187,Liberia,Monica Cristina Coneglian,,Grand Cape Mount,7.011769999999999,-11.37392,"Monica Cristina Coneglian, Grand Cape Mount"
188,Liberia,Monica Valeria Rama Cardoso,Clinic,Grand Cape Mount,7.011769999999999,-11.37392,"Monica Valeria Rama Cardoso, Grand Cape Mount"
189,Liberia,Bo Waterside  Clinic,Public Clinic,Grand Cape Mount,7.010746949,-11.37329397,"Bo Waterside  Clinic, Grand Cape Mount"
190,Liberia,Celso Bertolini,Animal clinic,Grand Cape Mount,7.0118,-11.3739,"Celso Bertolini, Grand Cape Mount"
191,Liberia,Magali Manhane,Clinic,Grand Cape Mount,7.0118,-11.3739,"Magali Manhane, Grand Cape Mount"
192,Liberia,Miriam Midori Arita,TBC,Grand Cape Mount,7.0118,-11.3739,"Miriam Midori Arita, Grand Cape Mount"
193,Liberia,Diah Community Clinic,Clinic,Grand Cape Mount,6.87795,-11.34901,"Diah Community Clinic, Grand Cape Mount"
194,Liberia,Fahn Jah,Clinic,Grand Cape Mount,7.0162,-11.2623,"Fahn Jah, Grand Cape Mount"
195,Liberia,Gonelor Community Clinic,Clinic,Grand Cape Mount,7.03927,-11.2579,"Gonelor Community Clinic, Grand Cape Mount"
196,Liberia,Kulango  Clinic,Clinic,Grand Cape Mount,6.922100456,-11.3873195,"Kulango  Clinic, Grand Cape Mount"
197,Liberia,Tahn-Mafa,Clinic,Grand Cape Mount,6.980580000000001,-11.225439999999999,"Tahn-Mafa, Grand Cape Mount"
198,Liberia,Alessandra Montemor,,Grand Cape Mount,6.967510000000001,-11.31279,"Alessandra Montemor, Grand Cape Mount"
199,Liberia,Anaximandro Ricardo Mouro,,Grand Cape Mount,6.967510000000001,-11.31279,"Anaximandro Ricardo Mouro, Grand Cape Mount"
200,Liberia,Antonio Bento Toledo De Moraes Jr,,Grand Cape Mount,6.967510000000001,-11.31279,"Antonio Bento Toledo De Moraes Jr, Grand Cape Mount"
201,Liberia,Antonio Fern Dant Amaral Campos,,Grand Cape Mount,6.967510000000001,-11.31279,"Antonio Fern Dant Amaral Campos, Grand Cape Mount"
